Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.097733723514243,-5.8383545149303199,6.238029916167875,-3.8454685041965037,9.635329095867349 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.910051982927382,-8.305199827627578,5.638929977607063,-5.932769782306764,9.527005551191986 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,8.702062245739674,-10.779959665424878,5.032420825472968,-8.026086638230254,9.387677154400422 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,8.47826272784891,-13.261369667415888,4.410503788064659,-10.126811416308272,9.22728710067708 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,8.399616032014782,-13.061909340082327,4.334196529995438,-9.96306257661513,9.082797687573337 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,8.308235237986477,-12.885047019103272,4.290693246305636,-9.8207247555398,8.970473395476934 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,8.234126345548498,-12.707049136956508,4.253270107080311,-9.677899314321508,8.884195178939239 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,8.171020684659246,-12.529145073289162,4.2285453909644279,-9.532453549469324,8.812676648830257 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.109560917323226,-12.40143256753499,4.212944457852927,-9.379454448022273,8.747128357976154 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.051059429973036,-12.275016735926072,4.1990344797522429,-9.226156988818503,8.683427552588654 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,7.993309796215573,-12.150037175400579,4.186773847556424,-9.072542618251874,8.620520837719015 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.936037641381001,-12.026547065054017,4.1751304613503639,-8.918867769361725,8.558372302691558 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.874918792452246,-12.000508784331478,4.1112162279146109,-8.966294269636137,8.496061538636406 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.81420766848512,-11.97546714420451,4.050729952776578,-9.012152039107207,8.43322313558577 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.7532902676909629,-11.951846548426808,3.9906253132704139,-9.056864786957988,8.37001255457775 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.6922967965907,-11.92951961472092,3.9307350110327095,-9.10036283477831,8.306693822732728 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,7.636892854675069,-11.807806076767724,3.9090675361472337,-9.016068207998672,8.244559719965276 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,7.581740596599254,-11.686144730945701,3.885019903857369,-8.923564655911548,8.184104115575595 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,7.527676472959911,-11.564459288675034,3.8612918374268476,-8.830202518329657,8.125068528291426 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.474508013394396,-11.442782982027602,3.838414587194052,-8.73659631734472,8.06705193959472 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.4146235644879658,-11.44392807818261,3.7872065922848039,-8.739744003920294,8.008430168019647 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.355388497025721,-11.445039360344574,3.737145877139824,-8.749292689259278,7.948514999228593 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.29563416083301,-11.446192056604021,3.6872806739256704,-8.759388617043556,7.887618206295256 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.2356057312723209,-11.447341511807498,3.6370774428995675,-8.76962144027209,7.826268000625368 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.1774244921823249,-11.425762726158246,3.5784768323041478,-8.807190323712803,7.765090152233874 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.119171523922844,-11.405303471166562,3.5220155239964017,-8.84514230319428,7.70440738523814 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0612332850507999,-11.385889192659697,3.4660832317140377,-8.88214710484516,7.644202143148322 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0036123537483629,-11.367457504295336,3.410709197411734,-8.918036542127198,7.584369395001538 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,6.9456629837055019,-11.317142345138804,3.3835569745962177,-8.861514663260209,7.524667733475211 
 01/01  07:30:00,-10.3,215.5879980222353,1.0,22.819555959623899,1.0,22.819555959623899,215.5879980222353,7.018191883589941,-9.642973589255587,3.6387943449047386,-8.554464393547733,7.485835556958479 
 01/01  07:45:00,-10.15,1058.5392312119832,1.0,109.75755355442667,1.0,109.75755355442667,1058.5392312119832,7.44761862428453,-3.264878969923427,4.7525107857896959,-7.549725617967738,7.52603154370332 
 01/01  08:00:00,-10.0,1924.8399544048012,1.0,195.8764694434918,1.0,195.8764694434918,1924.8399544048012,7.988567379706333,3.2050121738951558,5.984886281779723,-6.555458849889419,7.6533073192957759 
 01/01  08:15:00,-9.725,2788.1568045040946,1.0,278.97248314719988,1.0,278.97248314719988,2788.1568045040946,8.47592594460403,8.387106255826293,7.23375541217149,-5.673526706900134,7.841924952681595 
